position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,13,11,2,0,37,11,26,35
2,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,14,10,4,0,34,12,22,34
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,13,10,2,1,34,12,22,32
4,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,13,10,1,2,35,15,20,31
5,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,14,10,0,4,29,19,10,30
6,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,14,9,2,3,34,16,18,29
7,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,14,8,1,5,26,15,11,25
8,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,13,6,6,1,27,16,11,24
9,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,13,6,4,3,22,19,3,22
10,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,13,7,1,5,19,20,-1,22
11,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,13,6,3,4,20,20,0,21
12,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,12,5,3,4,20,18,2,18
13,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,14,4,4,6,24,29,-5,16
14,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,13,4,3,6,18,19,-1,15
15,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,14,4,3,7,19,21,-2,15
16,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,14,3,4,7,15,18,-3,13
17,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,12,3,4,5,12,18,-6,13
18,https://resources.premierleague.com/premierleague25/badges/102.svg,Luton Town,14,3,2,9,21,25,-4,11
19,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,14,2,2,10,12,42,-30,8
20,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,14,1,2,11,13,34,-21,5
