position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,1,1,0,0,5,0,5,3
2,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,1,1,0,0,3,0,3,3
3,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,1,1,0,0,1,0,1,3
4,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,1,0,1,0,1,1,0,1
5,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,1,0,1,0,0,0,0,1
6,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,1,0,1,0,0,0,0,1
7,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,0,0,0,0,0,0,0,0
8,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,0,0,0,0,0,0,0,0
9,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,0,0,0,0,0,0,0,0
10,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,0,0,0,0,0,0,0,0
11,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,0,0,0,0,0,0,0,0
12,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,0,0,0,0,0,0,0,0
13,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,0,0,0,0,0,0,0,0
14,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,0,0,0,0,0,0,0,0
15,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,0,0,0,0,0,0,0,0
16,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,0,0,0,0,0,0,0,0
17,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,1,0,0,1,1,3,-2,0
18,https://resources.premierleague.com/premierleague25/badges/45.svg,Norwich City,1,0,0,1,1,4,-3,0
19,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,1,0,0,1,0,3,-3,0
20,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,1,0,0,1,0,4,-4,0
