position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,9,7,2,0,27,11,16,23
2,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,10,6,2,2,23,12,11,20
3,https://resources.premierleague.com/premierleague25/badges/17.svg,Nottingham Forest,10,6,2,2,15,12,3,20
4,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,10,5,3,2,20,11,9,18
5,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,10,4,3,3,17,13,4,15
6,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,10,4,3,3,18,16,2,15
7,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,10,4,2,4,15,13,2,14
8,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,9,3,4,2,12,10,2,13
9,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,10,3,4,3,16,16,0,13
10,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,9,3,3,3,10,13,-3,12
11,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,9,3,1,5,16,9,7,10
12,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,9,2,4,3,11,11,0,10
13,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,9,3,1,5,11,19,-8,10
14,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,9,2,3,4,8,10,-2,9
15,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,10,2,3,5,17,22,-5,9
16,https://resources.premierleague.com/premierleague25/badges/40.svg,Ipswich Town,9,2,2,5,10,17,-7,8
17,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,9,1,4,4,6,14,-8,7
18,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,9,1,2,6,11,25,-14,5
19,https://resources.premierleague.com/premierleague25/badges/94.svg,Brentford,9,0,2,7,6,16,-10,2
20,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,10,0,2,8,5,17,-12,2
