position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,14,11,2,1,32,10,22,35
2,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,14,8,3,3,34,22,12,27
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,14,7,3,4,26,15,11,24
4,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,14,7,3,4,24,15,9,24
5,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,14,7,3,4,22,14,8,24
6,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,14,4,6,4,12,14,-2,18
7,https://resources.premierleague.com/premierleague25/badges/57.svg,Watford,14,4,2,8,17,21,-4,14
8,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,14,3,5,6,20,25,-5,14
9,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,14,3,4,7,15,22,-7,13
10,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,14,3,4,7,15,23,-8,13
11,https://resources.premierleague.com/premierleague25/badges/91.svg,Bournemouth,14,3,4,7,13,22,-9,13
12,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,13,2,6,5,13,20,-7,12
13,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,15,2,5,8,19,33,-14,11
14,https://resources.premierleague.com/premierleague25/badges/38.svg,Huddersfield Town,14,3,2,9,10,28,-18,11
15,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,14,2,4,8,7,17,-10,10
16,https://resources.premierleague.com/premierleague25/badges/80.svg,Swansea City,14,2,4,8,10,23,-13,10
17,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,14,2,4,8,9,23,-14,10
18,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,14,1,5,8,9,29,-20,8
19,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,14,1,4,9,7,22,-15,7
20,https://resources.premierleague.com/premierleague25/badges/110.svg,Stoke City,14,1,4,9,12,33,-21,7
