position,badge_url,name,games_played,games_won,games_drawn,games_lost,goals_for,goals_against,goal_difference,points
1,https://resources.premierleague.com/premierleague25/badges/14.svg,Liverpool,6,6,0,0,18,6,12,18
2,https://resources.premierleague.com/premierleague25/badges/20.svg,Southampton,6,4,0,2,13,8,5,12
3,https://resources.premierleague.com/premierleague25/badges/8.svg,Chelsea,6,3,2,1,14,7,7,11
4,https://resources.premierleague.com/premierleague25/badges/6.svg,Tottenham Hotspur,6,3,2,1,10,6,4,11
5,https://resources.premierleague.com/premierleague25/badges/43.svg,Manchester City,5,3,1,1,11,6,5,10
6,https://resources.premierleague.com/premierleague25/badges/11.svg,Everton,6,3,1,2,13,10,3,10
7,https://resources.premierleague.com/premierleague25/badges/21.svg,West Ham United,6,3,1,2,9,7,2,10
8,https://resources.premierleague.com/premierleague25/badges/13.svg,Leicester City,6,3,0,3,9,8,1,9
9,https://resources.premierleague.com/premierleague25/badges/4.svg,Newcastle United,6,3,0,3,8,12,-4,9
10,https://resources.premierleague.com/premierleague25/badges/31.svg,Crystal Palace,6,2,2,2,8,7,1,8
11,https://resources.premierleague.com/premierleague25/badges/39.svg,Wolverhampton Wanderers,6,2,2,2,6,6,0,8
12,https://resources.premierleague.com/premierleague25/badges/7.svg,Aston Villa,5,2,0,3,12,11,1,6
13,https://resources.premierleague.com/premierleague25/badges/3.svg,Arsenal,6,2,0,4,5,9,-4,6
14,https://resources.premierleague.com/premierleague25/badges/2.svg,Leeds United,6,1,2,3,7,11,-4,5
15,https://resources.premierleague.com/premierleague25/badges/35.svg,West Bromwich Albion,6,1,2,3,5,12,-7,5
16,https://resources.premierleague.com/premierleague25/badges/1.svg,Manchester United,6,1,2,3,3,10,-7,5
17,https://resources.premierleague.com/premierleague25/badges/90.svg,Burnley,5,1,1,3,2,6,-4,4
18,https://resources.premierleague.com/premierleague25/badges/54.svg,Fulham,6,1,1,4,6,12,-6,4
19,https://resources.premierleague.com/premierleague25/badges/36.svg,Brighton and Hove Albion,6,0,3,3,6,10,-4,3
20,https://resources.premierleague.com/premierleague25/badges/49.svg,Sheffield United,6,0,1,5,2,8,-6,1
